post,label
Guys I have a question: when a gay couple gets married Who makes the sandwiches?,1
Heard this from a 12 year old: 'Whats the difference between black people and apples?' I like apples,1
"Friend: how dark is your humor? Me: If you whip it enough, it will start picking cotton.",1
What do you say to a black guy in a three piece suit? Will the defendant please rise,1
how do you call a black man you call his cell number,1
What is an Ethiopian's favorite videogame? Don't Starve,1
How do you get 11 million followers? Run through Africa with a bottle of water.,1
Wanna hear my favorite oximoron? Black people.,1
What do you call it when a black person hides from a cop at night? Good use of camouflage.,1
What does a black woman receive when she has an abortion? A thank you letter from welfare.,1
"My boyfriend is half black. Sorry, I’m such a pessimist. He’s half white.",1
What's the one good thing about black people? They provide jobs for the prison guards,1
"I'm not racist racism is a crime, and crime is for black people.",1
What do you call a black person with rights? Nonexistent,1
Why do black people turn left? Because they don't have rights.,1
What's the only time you wink at a black person ? When you're aiming.,1
How do you track a Cherokee. Follow the tears.,1
Did they try turning Stephen Hawking off and on again?,1
"Today, I bought a Rolex from a black guy for a bargain. I would even say it was almost a steal.",1
Researchers found out the most important difference between humans and apes Apes lives in Africa,1
"What's black, white and rolls around on the beach? A black man and a seagull fighting over a chip.",1
What's the difference between Batman and a black man? Batman can go out at might without robin.,1
What do we call marijuana addicts? Mexicans.,1
What part of a vegetable cant you eat? The wheelchair,1
A Muslim man said “Allah Akbar” But I thought he was sneezing so I said “god bless you” and I was blown away by his reaction.,1
Homeless Where do Western Hobo's go for food?  Food shelter   Where do Asian Hobo's go for food?  Dog shelters,1
How black mothers keep their children from biting their nails? they make them wear shoes,1
What do you call 1 black person on the moon? A problem  What do you call 2 black people on the moon?  A problem  What do you call the entire population of black people on the moon?  Problem solved!,1
How do you start an african rave? Staple toast to the ceiling.,1
"Special ed classes are superior to the rest in, at least, one thing Chromosome average",1
How do you make a baby explode You convert it to islam,1
There was this great German Hotel that closed down in 1945. It gave free food and free hairdo's. It was called Aushwitz.,1
"Why do epileptics bexome atheists in December? Because they found out that ""Jesus is the reason for the seizin'""",1
What should you never give a dyslexic person for breakfast? Alpha-bits,1
"What do you call a black man that has eight arms? I don't know, but it picks cotton really fast!",1
I painted my computer black to make it run faster It shot me,1
Women deserve equal rights. And Other Hilarious Jokes You Can Tell Yourself,1
What’s the difference between a Jew and a bullet? Only one escapes the chamber.,1
"I think its wrong to refer to a negro as ""boy"" That implies they are people.",1
"Teeth are like people All want to be white, most are yellow and the black ones don't work",1
"Criminals are like just normal, regular people... ... But with darker skin.",1
Why was six afraid on seven? Because seven is black,1
Why shouldn't men hit their wives ? When you damage your property it loses value.,1
"my african friend asked me if he could ask for bob and vegene i told him ""u better ask for food""",1
what did the african kid get for christmas aids,1
"What's the difference between homeless people and rats? Nothing, they both are infestations to big cities",1
"Why is Mexico so bad at the Olympics? Because every mexican that can run, jump and climb is allready on the U.S.A",1
Black people are like mitochondria They're the powerhouse of the cell,1
I studied zoology It helped me better understand black people and their behavior,1
:D @nkrause11 Dudes who go to culinary school: #why #findawife #notsexist :),1
"Yeah, child labor IS illegal. Unless you mean ""women""? @plaster_cole Girls should not be allowed to be commentators for football games",1
"Too bad they won't take you! @the_CRISPY_man Call me sexist all you want, but I'll take a woman who can cook over one who can't ANY DAY",1
You're pure comedy to the WNBA. @itsshaqhoe Not sexist but WNBA is pure comedy to me .,1
"Has to be a parody account. @TheHout I'm not sexist, but women just shouldn't be sports announcers.",1
"Listen, you're sexist. @TommyJohn15 Listen, I'm not sexist, but every dumbass driver I've crossed lately has been a female.",1
"Wish I could reply with gifs. @ThisIsFNW I hate when women want to be men. It's not sexist, it's biology. Were just different, accept it.",1
*most boys @ihatethiskid I'm not sexist but all the internet does is show that most girls don't know how to form their own opinions.,1
"Yes, you're both. @kfuru16: My sister is a woman and Asian. She is the worst driver in America #notracist #notsexist",1
Turn up your hearing aid? A thought @C_tWINO I'm not sexist but it's nearly impossible to listen to a girl talking about football on ESPN,1
LOL EDGY @ein_schoner_tag @shedevil___ @ahptik im not sexist but why are women allowed opinions lol,1
"I'm not a Misandrist but Males in General can not Capitalize @g0ldenWan I'm not Sexist , but Females in General can not Drive.",1
TELL ME MORE @ohthatliamm I'm not sexist but I don't think I actually find any female comedian funny,1
IRONY IS FUCKING DEAD @ibustos123 Im not sexist but feminists are the most annoying people out there.,1
WOW TOP SHELF HUMOR @arabdizzle What's the point in having a cleaning lady when I have a mom and a sister? #NotSexist,1
why do jews get circumcised ? jewish women wo n't touch anything that is n't <number> off .,1
"what is a muslim 's favourite band ? the taliband , their performances always blows the audience away",1
how do you prevent black people from stealing your stuff ? hide it at the bottom of the pool,1
i like my lakes like i like my white men . superior .,1
black people are like tires they work better with chains,1
"a muslim couple just got married it is working out well enough , but the husband will not let his wife drive for at least <number> years . one day the wife go 's up to him and asks why she must wait such a long time . he replies "" oh well , to get your drivers licence in this country you must be <number> years or older """,1
what do you call a good looking muslim ? asif,1
what do you call a black woman who 's had <number> abortions ? a crime fighter,1
why did a black man cross the road ? hey ! gimme back my wallet !,1
"how do you fit a group of jews into a mercedes ? <number> in the front , <number> in the back and <number> in the ashtray .",1
important sometimes it is very important if a sentence was said by a man or a woman . a good example : “ i used a whole pack of tissues during that awesome movie yesterday ! ”,1
what do you call a woman who thinks she can do anything a man can do ? wrong .,1
bad drivers are fined $ <number> now that s just sexist .,1
"cooking is an important skill . cook for an african man , and he will be hungry for a day less . cook an african man , and all the nearby african men will be hungry for a day less . -- some tribe leader",1
"wanna be like hitler , but have no oven ? throw a penny off a cliff .",1
i painted my laptop black so it would run faster . <repeat> and now it wo n't work,1
what do you call an ethiopian with buck teeth ? a rake .,1
"some people say i do n't let my wife choose anything , but that 's not true ! i let her choose between front hand and back hand .",1
you want to hear a joke ? women 's rights,1
what does a muslim do with their iphone <number> ? just kidding ! they prefer the note <number>,1
what 's the difference between batman and a black man ? batman can go to the store without robin .,1
"what 's the difference between a boko haram training camp and a nigerian refugee camp ? i do n't know , i just fly the fighter jet .",1
what do you do when someone is having a seizure in the bath ? throw a load of dirty laundry in .,1
why are women like clouds ? because they dampen your day when they 're around but once they 're gone the day is much better .,1
what is the difference between a homosexual and a mentally ill person ? nothing .,1
how can you tell if a shark met an asian ? its fins are missing .,1
"how many times can you screw a blonde ? i do n't know , how much time you got ?",1
what do you give an african child for its first birthday ? roses on its grave .,1
"pink shutters a man walked into a whore house and asked the man running it to give him the biggest black woman that the whore house had . the man at the counter said alright that will be <number> and told him to go to room <number> the man went up to room <number> and the biggest black woman he had ever seen answered the door . the man walked in and asked the woman to take off all her clothes , lay on the bed and spread her legs . <repeat> she did as she was told , the man stood there and just looked at her for a minute , then he said ok i m finished you can put your clothes back on . <repeat> the woman got up and was confused as she asked , "" why did nt you do anyting ? "" the man replied . <repeat> well i am painting my house brown and i wanted to see what it looked like with pink shutters",1
darth vader … was the first black guy to freely admit to being the father .,1
why are the japanese so skinny ? it did n't end very well for them the last time a fat man was in their country .,1
what 's with all the recent terror attacks ? its ramadan . and you 're not you when you 're hungry .,1
what do you call an ethiopian with a yeast infection ? a quarter pounder with cheese .,1
what 's the difference between a black man and a lawn decoration ? a footstool and some rope .,1
what 's black and screams ? stevie wonder answering the iron .,1
how do you find a black person ? guilty,1
"a black guy goes to a doctor 's office to get a vasectomy . he shows up in a limo wearing a tuxedo . when it 's his turn , the doctor looks at him and says , "" i 've seen a lot of things , but i 've never seen a guy coming in all dressed up like that ! "" and the black guy says , "" well , if i 'm gon na be im - po - tent , i 'm gon na look im - po - tent ! """,1
who 's visiting millions of african children every year on christmas eve ? death .,1
cripples what do you call three people in wheelchairs stacked on top of each other ? a vegetable rack .,1
what s the difference between a black person and a colorful explosion in the sky ? fire works,1
what happened to the girl who had a black heart ? cardiac arrest .,1
what 's the same about feminism and the holocaust ? they 're both irrelevant and mean nothing to society .,1
"if your dog is barking at the back door and your wife is yelling at the front door , who do you let in first ? the dog because he shuts up after you let him in .",1
i ca nt wait for harriet tubman to be on the $ <number> bill i can finally use black people as currency again .,1
if you donate just <number> pound a month . . . you can help us make another advert with sad looking african children in it .,1
why are black people so good at excel ? they know a lot about cells,1
i 'm not racist there are black people in my family tree .,1
"why should you never marry a jewish woman ? when dinner time comes , they 're too scared to get near the oven",1
"daddy , am i more black or muslim ? - why are you asking , son ? - there is a bank on the <number> h floor of a new building , and i do n't know whether to rob it or fly a plane into it .",1
"from what i understand most major religions all pray to the same god . after tragedies often i hear ' god has a plan ' well , frankly i think they are right . like after sandy hook , you know , like <number> kids were murdered . that was part of gods plan . i mean , how else is he going to keep coming up with virgins for the suicide bombers .",1
what do you call a sheet of metal leaning on a tree ? free aboriginal housing .,1
what do you call a homosexual on rollerblades ? rolaids,1
i like my women the way i like my fish . . . battered .,1
what 's the difference between harry potter and jews ? harry escaped the chamber,1
"so i almost dated this cute muslin chick in middle school but after her social media phase , she kinda blew up . <repeat>",1
how many feminists does it take to change a light bulb ? feminists ca n't change anything .,1
why do black people like the pokemon anime ? because they can relate to the main character 's fatherlessness .,1
what do you call a letter from a feminist ? hate male,1
what is ironic about the lgbt <allcaps> flag ? all the colors are straight .,1
why did they plant trees in harlem ? for free public transit .,1
"woman : what were the results from the test ? doctor : there are good news and bad news , the good news is that your child will always find a parking space",1
did you hear about the woman who got hit by a car ? police are questioning why she was out of the kitchen .,1
if a muslim beats his wife is it domestic violence or child abuse ?,1
"what happens when you boil a cabbage ? i do n't know , a japanese guy stabbed him before i could find out .",1
"offensive joke . well , i hope anyway a little black jewish boy says to his daddy , "" dad am i more black or jewish ? "" "" why do you ask ? "" , says the dad . the boy says , "" well a guy at school has a bike for sale for $ <number> and i ca n't decide if i want to haggle him down to $ <number> or just steal it . """,1
what do you call a muslim at a peace rally ? lost .,1
what s the difference between a passed out college chick and a pickle jar i ca nt fit my fist in a pickle jar,1
what would be another name for black lives matter ? rise of the planet of the apes .,1
jews what 's the best jew joke ever ? the holocaust,1
what 's the best way to wash down five hundred chocolates ? katrina .,1
what 's the difference between feminists and hockey players ? hockey players shower after <number> periods .,1
what 's the hardest part about being a muslim ? pilot school,1
"the prophet mohammed and his wife walk into a pub and the barman says , "" sorry , mo , kids have to stay outside in the garden . """,1
how did the jewish kid cheat on his math test ? he used the numbers on his arm .,1
what 's the meanest thing you can do to a blind person ? give them a cheese grater to read .,1
i fuck my wife the same way islam fucks muslims . <repeat> <number> times a day and she has to face me while being submissive .,1
why is jesus probably black ? because he can not tell who was his real father .,1
"why were all of the inner - city schools changed into conservatories for the arts ? people realized that the only way a negro could be successful is by playing jazz , singing , dancing , or playing sports so they decided not to waste money by teaching them things that would n’t prepare them for the real world .",1
volkswagen gas emissions scandal . the germans are still trying to gas us .,1
let 's be honest here . <repeat> the real reason why the great irish potato famine happened was because the irish figured out that they could also eat the potatoes .,1
a gay muslim walks into a bar . <repeat> he ordered shots for everyone .,1
what do you call a smart black person ? nonexistent .,1
"a man walks into a bar and asks for an obscure beverage : ' hey , do you serve blacks lager by any chance ? ' the waiter replies : ' no we do n't ' the man says : ' yeah neither would i they start throwing their shit at each other after a pint or two '",1
why are the black man 's eyes always red after sex ? the mace .,1
why do nt jews like the internet ? because they always got roasted by nazis,1
